ConFemMat: ../DataExamples/E04/E4-01
Found specified element set: prop1
Found specified material: mat1 of type: RCBEAM
244, 2, eps 0.006385, kap 0.048800, N   0.000000, M 0.222104, zt 0.130836, zc 0.200000
245, 2, eps 0.006412, kap 0.049000, N   0.000000, M 0.222093, zt 0.130865, zc 0.200000
246, 2, eps 0.006440, kap 0.049200, N   0.000000, M 0.222081, zt 0.130893, zc 0.200000
247, 2, eps 0.006467, kap 0.049400, N   0.000000, M 0.222068, zt 0.130920, zc 0.200000
248, 2, eps 0.006495, kap 0.049600, N   0.000000, M 0.222053, zt 0.130944, zc 0.200000
249, 2, eps 0.006522, kap 0.049800, N   0.000000, M 0.222037, zt 0.130967, zc 0.200000
250, 2, eps 0.006549, kap 0.050000, N   0.000000, M 0.222020, zt 0.130989, zc 0.200000
251, 2, eps 0.006577, kap 0.050200, N   0.000000, M 0.222002, zt 0.131009, zc 0.200000
252, 2, eps 0.006604, kap 0.050400, N  -0.000000, M 0.221982, zt 0.131027, zc 0.200000
253, 2, eps 0.006631, kap 0.050600, N   0.000001, M 0.221960, zt 0.131044, zc 0.200000
254, 5, eps 0.006657, kap 0.050800, N  -0.000008, M 0.221921, zt 0.131043, zc 0.199941
compression failure zt 0.131043 zc 0.199941
1, 4, eps -0.000313, kap 0.000200, N  -1.000000, M 0.009139, zt -0.200000, zc 0.200000
2, 1, eps -0.000313, kap 0.000400, N  -1.000000, M 0.018277, zt -0.200000, zc 0.200000
3, 1, eps -0.000314, kap 0.000600, N  -1.000000, M 0.027411, zt -0.200000, zc 0.200000
4, 1, eps -0.000314, kap 0.000800, N  -1.000000, M 0.036540, zt -0.200000, zc 0.200000
5, 1, eps -0.000315, kap 0.001000, N  -1.000000, M 0.045662, zt -0.200000, zc 0.200000
6, 1, eps -0.000316, kap 0.001200, N  -1.000000, M 0.054777, zt -0.200000, zc 0.200000
7, 1, eps -0.000316, kap 0.001400, N  -1.000000, M 0.063881, zt -0.200000, zc 0.200000
8, 1, eps -0.000317, kap 0.001600, N  -1.000002, M 0.072969, zt -0.198347, zc 0.200000
9, 1, eps -0.000317, kap 0.001800, N  -1.000000, M 0.081382, zt -0.176297, zc 0.200000
10, 1, eps -0.000316, kap 0.002000, N  -1.000004, M 0.088853, zt -0.157838, zc 0.200000
